,Movie_Title,Distributor,Domestic_Total_Gross,Budget,Runtime(mins),Rating,Release_Date,Genre
117,American Made,Universal Pictures,51342000,50000000,115,R,2017-09-29,"Action, Biography, Comedy, Crime"
118,Kingsman: The Golden Circle,Twentieth Century Fox,100234838,104000000,141,R,2017-09-22,"Action, Adventure, Comedy"
119,It,Warner Bros.,327481748,35000000,135,R,2017-09-08,Horror
120,It,Warner Bros.,327481748,35000000,135,R,2017-09-08,Horror
121,The Hitman's Bodyguard,Lionsgate,75468583,30000000,118,R,2017-08-18,"Action, Comedy, Thriller"
122,The Hitman's Bodyguard,Lionsgate,75468583,30000000,118,R,2017-08-18,"Action, Comedy, Thriller"
123,The Hitman's Bodyguard,Lionsgate,75468583,30000000,118,R,2017-08-18,"Action, Comedy, Thriller"
124,Annabelle: Creation,Warner Bros.,102092201,15000000,109,R,2017-08-11,"Horror, Mystery, Thriller"
125,The Dark Tower,Sony Pictures Releasing,50701325,60000000,95,PG-13,2017-08-04,"Action, Adventure, Fantasy, Horror, Sci-Fi, Western"
126,Dunkirk,Warner Bros.,188045546,100000000,106,PG-13,2017-07-21,"Action, Drama, History, Thriller, War"
127,Dunkirk,Warner Bros.,188045546,100000000,106,PG-13,2017-07-21,"Action, Drama, History, Thriller, War"
128,War for the Planet of the Apes,Twentieth Century Fox,146880162,150000000,140,PG-13,2017-07-14,"Action, Adventure, Drama, Sci-Fi, Thriller"
129,Spider,Sony Pictures Releasing,334201140,175000000,133,PG-13,2017-07-07,"Action, Adventure, Sci-Fi"
130,Despicable Me 3,Universal Pictures,264624300,80000000,89,PG,2017-06-30,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi"
131,Transformers: The Last Knight,Paramount Pictures,130168683,217000000,154,PG-13,2017-06-21,"Action, Adventure, Sci-Fi"
132,Cars 3,Walt Disney Studios Motion Pictures,152901115,,102,G,2017-06-16,"Adventure, Animation, Comedy, Family, Sport"
133,Wonder Woman,Warner Bros.,412563408,149000000,141,PG-13,2017-06-02,"Action, Adventure, Fantasy, Sci-Fi, War"
134,Wonder Woman,Warner Bros.,412563408,149000000,141,PG-13,2017-06-02,"Action, Adventure, Fantasy, Sci-Fi, War"
135,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,172558876,230000000,129,PG-13,2017-05-26,"Action, Adventure, Fantasy"
136,Alien: Covenant,Twentieth Century Fox,74262031,97000000,122,R,2017-05-19,"Horror, Sci-Fi, Thriller"
137,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,389813101,200000000,136,PG-13,2017-05-05,"Action, Adventure, Comedy, Sci-Fi"
138,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,389813101,200000000,136,PG-13,2017-05-05,"Action, Adventure, Comedy, Sci-Fi"
139,The Fate of the Furious,Universal Pictures,226008385,250000000,136,PG-13,2017-04-14,"Action, Adventure, Thriller"
140,The Fate of the Furious,Universal Pictures,226008385,250000000,136,PG-13,2017-04-14,"Action, Adventure, Thriller"
141,The Fate of the Furious,Universal Pictures,226008385,250000000,136,PG-13,2017-04-14,"Action, Adventure, Thriller"
142,The Boss Baby,Twentieth Century Fox,175003033,,97,PG,2017-03-31,"Adventure, Animation, Comedy, Family, Fantasy"
143,The Boss Baby,Twentieth Century Fox,175003033,,97,PG,2017-03-31,"Adventure, Animation, Comedy, Family, Fantasy"
144,Beauty and the Beast,Walt Disney Studios Motion Pictures,504014165,160000000,129,PG,2017-03-17,"Family, Fantasy, Musical, Romance"
145,Beauty and the Beast,Walt Disney Studios Motion Pictures,504014165,160000000,129,PG,2017-03-17,"Family, Fantasy, Musical, Romance"
146,Kong: Skull Island,Warner Bros.,168052812,185000000,118,PG-13,2017-03-10,"Action, Adventure, Fantasy, Sci-Fi"
147,Logan,Twentieth Century Fox,226277068,97000000,137,R,2017-03-03,"Action, Drama, Sci-Fi, Thriller"
148,Get Out,Universal Pictures,176040665,4500000,104,R,2017-02-24,"Horror, Mystery, Thriller"
149,The Lego Batman Movie,Warner Bros.,175750384,80000000,104,PG,2017-02-10,"Action, Animation, Comedy, Family"
150,Fifty Shades Darker,Universal Pictures,114581250,55000000,118,R,2017-02-10,"Drama, Romance"
151,Split,Universal Pictures,138291365,9000000,117,PG-13,2017-01-20,"Horror, Thriller"
152,Split,Universal Pictures,138291365,9000000,117,PG-13,2017-01-20,"Horror, Thriller"
153,Split,Universal Pictures,138291365,9000000,117,PG-13,2017-01-20,"Horror, Thriller"
154,Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,532177324,200000000,133,PG-13,2016-12-16,"Action, Adventure, Sci-Fi"
155,Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,532177324,200000000,133,PG-13,2016-12-16,"Action, Adventure, Sci-Fi"
156,Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,532177324,200000000,133,PG-13,2016-12-16,"Action, Adventure, Sci-Fi"
157,Moana,Walt Disney Studios Motion Pictures,248757044,,107,PG,2016-11-23,"Adventure, Animation, Comedy, Family, Fantasy, Musical"
158,Moana,Walt Disney Studios Motion Pictures,248757044,,107,PG,2016-11-23,"Adventure, Animation, Comedy, Family, Fantasy, Musical"
159,Moana,Walt Disney Studios Motion Pictures,248757044,,107,PG,2016-11-23,"Adventure, Animation, Comedy, Family, Fantasy, Musical"
160,Fantastic Beasts and Where to Find Them,Warner Bros.,234037575,180000000,132,PG-13,2016-11-18,"Adventure, Family, Fantasy"
161,Doctor Strange,Walt Disney Studios Motion Pictures,232641920,165000000,115,PG-13,2016-11-04,"Action, Adventure, Fantasy, Sci-Fi"
162,Doctor Strange,Walt Disney Studios Motion Pictures,232641920,165000000,115,PG-13,2016-11-04,"Action, Adventure, Fantasy, Sci-Fi"
163,Tyler Perry's Boo! A Madea Halloween,Lionsgate,73206343,20000000,103,PG-13,2016-10-21,"Comedy, Drama, Horror"
164,Tyler Perry's Boo! A Madea Halloween,Lionsgate,73206343,20000000,103,PG-13,2016-10-21,"Comedy, Drama, Horror"
165,The Accountant,Warner Bros.,86260045,44000000,128,R,2016-10-14,"Action, Crime, Drama, Thriller"
166,The Girl on the Train,Universal Pictures,75395035,45000000,112,R,2016-10-07,"Crime, Drama, Mystery, Thriller"
167,Miss Peregrine's Home for Peculiar Children,Twentieth Century Fox,87242834,110000000,127,PG-13,2016-09-30,"Adventure, Drama, Fantasy, Thriller"
168,The Magnificent Seven,Sony Pictures Releasing,93432655,90000000,132,PG-13,2016-09-23,"Action, Adventure, Western"
169,Sully,Warner Bros.,125070033,60000000,96,PG-13,2016-09-09,"Biography, Drama"
170,Sully,Warner Bros.,125070033,60000000,96,PG-13,2016-09-09,"Biography, Drama"
171,Don't Breathe,Screen Gems,89217875,9900000,88,R,2016-08-26,"Crime, Horror, Thriller"
172,Don't Breathe,Screen Gems,89217875,9900000,88,R,2016-08-26,"Crime, Horror, Thriller"
173,Suicide Squad,Warner Bros.,325100054,175000000,123,PG-13,2016-08-05,"Action, Adventure, Fantasy, Sci-Fi"
174,Suicide Squad,Warner Bros.,325100054,175000000,123,PG-13,2016-08-05,"Action, Adventure, Fantasy, Sci-Fi"
175,Suicide Squad,Warner Bros.,325100054,175000000,123,PG-13,2016-08-05,"Action, Adventure, Fantasy, Sci-Fi"
176,Jason Bourne,Universal Pictures,162434410,120000000,123,PG-13,2016-07-29,"Action, Thriller"
177,Star Trek Beyond,Paramount Pictures,158848340,185000000,122,PG-13,2016-07-22,"Action, Adventure, Sci-Fi, Thriller"
178,The Secret Life of Pets,Universal Pictures,368384330,75000000,87,PG,2016-07-08,"Adventure, Animation, Comedy, Family"
179,The Secret Life of Pets,Universal Pictures,368384330,75000000,87,PG,2016-07-08,"Adventure, Animation, Comedy, Family"
180,Finding Dory,Walt Disney Studios Motion Pictures,486295561,,97,PG,2016-06-17,"Adventure, Animation, Comedy, Family"
181,Finding Dory,Walt Disney Studios Motion Pictures,486295561,,97,PG,2016-06-17,"Adventure, Animation, Comedy, Family"
182,Finding Dory,Walt Disney Studios Motion Pictures,486295561,,97,PG,2016-06-17,"Adventure, Animation, Comedy, Family"
183,The Conjuring 2,Warner Bros.,102470008,40000000,134,R,2016-06-10,"Horror, Mystery, Thriller"
184,Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,82051601,135000000,112,PG-13,2016-06-03,"Action, Adventure, Comedy, Sci-Fi"
185,X,Twentieth Century Fox,155442489,178000000,144,PG-13,2016-05-27,"Action, Adventure, Sci-Fi"
186,The Angry Birds Movie,Sony Pictures Releasing,107509366,73000000,97,PG,2016-05-20,"Action, Animation, Comedy, Family, Fantasy"
187,Captain America: Civil War,Walt Disney Studios Motion Pictures,408084349,250000000,147,PG-13,2016-05-06,"Action, Adventure, Sci-Fi"
188,Captain America: Civil War,Walt Disney Studios Motion Pictures,408084349,250000000,147,PG-13,2016-05-06,"Action, Adventure, Sci-Fi"
189,The Jungle Book,Walt Disney Studios Motion Pictures,364001123,175000000,106,PG,2016-04-15,"Adventure, Drama, Family, Fantasy"
190,The Jungle Book,Walt Disney Studios Motion Pictures,364001123,175000000,106,PG,2016-04-15,"Adventure, Drama, Family, Fantasy"
191,The Jungle Book,Walt Disney Studios Motion Pictures,364001123,175000000,106,PG,2016-04-15,"Adventure, Drama, Family, Fantasy"
192,The Boss,Universal Pictures,63285885,29000000,99,R,2016-04-08,Comedy
193,Batman v Superman: Dawn of Justice,Warner Bros.,330360194,250000000,151,PG-13,2016-03-25,"Action, Adventure, Sci-Fi"
194,Batman v Superman: Dawn of Justice,Warner Bros.,330360194,250000000,151,PG-13,2016-03-25,"Action, Adventure, Sci-Fi"
195,Zootopia,Walt Disney Studios Motion Pictures,341268248,,108,PG,2016-03-04,"Adventure, Animation, Comedy, Crime, Family, Mystery"
196,Zootopia,Walt Disney Studios Motion Pictures,341268248,,108,PG,2016-03-04,"Adventure, Animation, Comedy, Crime, Family, Mystery"
197,Zootopia,Walt Disney Studios Motion Pictures,341268248,,108,PG,2016-03-04,"Adventure, Animation, Comedy, Crime, Family, Mystery"
198,Deadpool,Twentieth Century Fox,363070709,58000000,108,R,2016-02-12,"Action, Adventure, Comedy, Sci-Fi"
199,Deadpool,Twentieth Century Fox,363070709,58000000,108,R,2016-02-12,"Action, Adventure, Comedy, Sci-Fi"
200,Deadpool,Twentieth Century Fox,363070709,58000000,108,R,2016-02-12,"Action, Adventure, Comedy, Sci-Fi"
201,Kung Fu Panda 3,Twentieth Century Fox,143528619,145000000,95,PG,2016-01-29,"Action, Adventure, Animation, Comedy, Family, Fantasy"
202,Kung Fu Panda 3,Twentieth Century Fox,143528619,145000000,95,PG,2016-01-29,"Action, Adventure, Animation, Comedy, Family, Fantasy"
203,Ride Along 2,Universal Pictures,91221830,40000000,102,PG-13,2016-01-15,"Action, Comedy, Crime"
204,Star Wars: Episode VII,Walt Disney Studios Motion Pictures,936662225,245000000,138,PG-13,2015-12-18,"Action, Adventure, Sci-Fi"
205,Star Wars: Episode VII,Walt Disney Studios Motion Pictures,936662225,245000000,138,PG-13,2015-12-18,"Action, Adventure, Sci-Fi"
206,Star Wars: Episode VII,Walt Disney Studios Motion Pictures,936662225,245000000,138,PG-13,2015-12-18,"Action, Adventure, Sci-Fi"
207,The Hunger Games: Mockingjay,Lionsgate,281723902,160000000,137,PG-13,2015-11-20,"Action, Adventure, Sci-Fi, Thriller"
