Movie_Title,Budgets
"<a href=""/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary"">Harry Potter and the Goblet of Fire</a>","$150,000,000"
"<a href=""/movie/Matrix-Reloaded-The#tab=summary"">The Matrix Reloaded</a>","$150,000,000"
"<a href=""/movie/I-am-Legend#tab=summary"">I am Legend</a>","$150,000,000"
"<a href=""/movie/Moana-(2016)#tab=summary"">Moana</a>","$150,000,000"
"<a href=""/movie/Hancock#tab=summary"">Hancock</a>","$150,000,000"
"<a href=""/movie/Charlie-and-the-Chocolate-Factory#tab=summary"">Charlie and the Chocolate Factory</a>","$150,000,000"
"<a href=""/movie/Ratatouille#tab=summary"">Ratatouille</a>","$150,000,000"
"<a href=""/movie/Thor-The-Dark-World#tab=summary"">Thor: The Dark World</a>","$150,000,000"
"<a href=""/movie/Batman-Begins#tab=summary"">Batman Begins</a>","$150,000,000"
"<a href=""/movie/Mission-Impossible-Rogue-Nation#tab=summary"">Mission: ImpossibleâRogue Nation</a>","$150,000,000"
"<a href=""/movie/Dunkirk-(2017)#tab=summary"">Dunkirk</a>","$150,000,000"
"<a href=""/movie/Thor#tab=summary"">Thor</a>","$150,000,000"
"<a href=""/movie/Madagascar-Escape-2-Africa#tab=summary"">Madagascar: Escape 2 Africa</a>","$150,000,000"
"<a href=""/movie/X-Men-Origins-Wolverine#tab=summary"">X-Men Origins: Wolverine</a>","$150,000,000"
"<a href=""/movie/Night-at-the-Museum-Battle-of-the-Smithsonian#tab=summary"">Night at the Museum: Battle of the Smithsonian</a>","$150,000,000"
"<a href=""/movie/Kung-Fu-Panda-2#tab=summary"">Kung Fu Panda 2</a>","$150,000,000"
"<a href=""/movie/Mad-Max-Fury-Road#tab=summary"">Mad Max: Fury Road</a>","$150,000,000"
"<a href=""/movie/Pokemon-Detective-Pikachu-(2019)#tab=summary"">PokÃ©mon: Detective Pikachu</a>","$150,000,000"
"<a href=""/movie/Matrix-Revolutions-The#tab=summary"">The Matrix Revolutions</a>","$150,000,000"
"<a href=""/movie/Ready-Player-One#tab=summary"">Ready Player One</a>","$150,000,000"
"<a href=""/movie/Chicken-Little#tab=summary"">Chicken Little</a>","$150,000,000"
"<a href=""/movie/Mission-Impossible-III#tab=summary"">Mission: Impossible III</a>","$150,000,000"
